storyID,comment,questionBefores,questionAfter,choiceIns,choiceOuts,content
q0045,"Third and a half decision, hungry for dinner",q0044,,,c0045.0,"Your stomach grumbles happily as you crouch beside the fire, warming your hands.  Good thing your dinner is packed!"
q0046,(dinnertime),,q0047,c0045.0,,"You open the picnic basket grandma packed for you and eat one of the sandwiches she wrapped so nicely in a waxy napkin.  There is an apple, but you figure you’ll save that and the other sandwich plus the hard boiled eggs for tomorrow.  She packed you a juice box, and you smile as you poke the straw into it and squeeze the sweet, tangy liquid into your mouth."
q0047,"Fourth decision, s’mores ingredients discovered",q0046,,,"c0047.0, c0047.1","Underneath the other foods, you spy a little baggie tucked into the corner.  Inside it contains a few marshmallows, some not-yet-broken graham crackers, and a small pile of chocolate wafers.  A little note is taped to the bag."
q0048.0,(read note),,q0049,c0047.0,,"It’s just a little message from your grandma: “Something sweet for the sweetest person I know. Love, Grammy”.  She added a little heart at the bottom."
q0048.1,(ignore note),,q0049,c0047.1,,"It’s probably just some stupid lovey note from your grandma.  Probably trying to tell you to give up camping and come back to the house, just like she tried to do with the cookies.  Why is she trying so hard to keep you from camping?  You don’t need that.  You crumple up the note and toss it over your shoulder."
q0049,Fifth decision,"q0048.0, q0049.1",,,"c0049.0, c0049.1","You turn your attention back to the bag of S’mores ingredients.  Raging fire (well, it’s more than smoldering, at least), some chocolate and those big puffy marshmallows…"
q0050.0,(camping treat),,q0051.0,c0049.0,,What’s better than this on your first camping trip alone?  Who cares if you’re only fifteen minutes away from your grandparent’s house?   This is what living is all about!
q0051.0,done with dinner,q0050.0,q0052,,,"The S’mores are sweet, as promised, and you eat your fill.  With a bit of a tummyache, you stand up and stretch, cleaning up your impromptu dinner and dessert back into the picnic basket."
q0050.1,(camping restraint),,q0051.1,c0049.1,,"After that sandwich, you’re more full than you thought.  Sweet note or no, you’re not feeling the S’mores tonight."
q0051.1,done with dinner,q0050.1,q0052,,,"You stand up and stretch, and with a sigh begin to clean up your impromptu dinner back into the picnic basket."
q0052,post-dinner,"q0051.0, q0051.1",q0053,,,"You tend to the fire as the night settles deeper into the sky.  Flickering shadows stretch out from the fire, and although you can feel the woods pressing in onto the clearing, you feel calm and surprisingly at peace here in the circle of light."
q0053,Sixth decision,q0052,,,"c0053.0, c0053.1","Your body aches slightly from the bout of walking earlier, but it’s not so bad that you want to go to bed right away.  You can sit out and enjoy the night a little longer.  Of course, if you go to sleep now, you might be more inclined to wake up early and explore while the day is still young."
q0060,(stay up),,q0061,c0053.1,,"The fire crackles warmly at your feet, warming your knees and shins.  Beyond the fire, you hear the sounds of the forest: trees creaking, owls hooting, the rustling of bushes where small animals are settling into their homes for the night.  The fire feels nice and warm, and lulls you peacefully."
q0061,,q0060,q0062,,,"The stars are dim, but sure to get brighter the longer you stay up.  You watch the shadows press ever closer towards you, like the clearing is being swaddled by a cozy blanket.  The forest breathes around you, and you find yourself breathing to the same tempo, your heart beating with the pulse of the living earth around you.  Allowing the fire lose some of its body and light, you take the world in with your deep, calm breaths, and then look up again at the sky."
q0062,,q0061,q0063,,,"Now the stars stand out like crystal, brilliant jewels set into the velvet cloth of the sky.  The night seems all at once vast and encompassing yet safe and snug.  You feel yourself falling into the distance of the sky, mesmerized by those tiny pinpricks of light and the whole world of galaxies they represent."
q0063,,q0062,q0064,,,"By the time an unconsciously large yawn shakes you out of your reverie, the fire is just a few remaining glowing embers against the lush darkness of the woods.  You yawn again as you stand, feeling your limbs numbs with cold.  You stretch until your body tingles as you get the blood pumping just enough to finish up the last tasks before you can go to bed."
q0064,,q0063,q0073,,,"From the picnic basket, you pull out a bottle of water to keep beside you while you sleep and the flashlight that’s tucked inside.  Setting those inside the tent next to the sleeping bag, you focus on making sure you left nothing out that would attract any animals while you sleep.  Seeing nothing you forgot, you pick up the picnic basket and set it into the back of the tent, so you won’t trip over it in the night."
q0070,(go to bed),,q0071,c0053.0,,"You take your time as you wander around the clearing, preparing your body for sleep after your long walk in the woods.  You hear some animal sounds coming at you from a distance: there are hooting owls out there, and the shifting of underbrush from the smaller creatures.  You’re sure there are larger ones out there too, but you try not to think of them because you don’t want to have nightmares tonight.  You remind yourself that your grandparents are not that far away, snug in their house.  You’re sure if it comes down to it that you’ll be able to find your way out of the woods without any problem."
q0071,,q0070,q0072,,,"The picnic basket is by your feet.  In the flickering light of the fire, you reach into the basket and pull out one of the water bottles tucked inside and the flashlight.  You look up towards the sky as you take a quick swig of the water and watch the dark leaves sway against the blue-black night.  You can just make out some stars with your fire-blind eyes, although they twinkle out of existence whenever you try to look right at them."
q0072,,q0071,q0073,,,"You take another sip of the water, and then twist the cap on firmly and tuck both the bottle and the flashlight into the tent beside the entrance.  The picnic basket goes further inside the tent so you don’t have to worry about tripping over it in a state of half-sleep."
q0073,last-minute bedtime preparations,"q0064, q0072",q0074,,,"After a few more minutes of other bed-preparation activities, you’re finally ready to tuck in for the night.  You throw the sand over the remains of your low-burning fire until it flickers out of existence."
q0074,,q0073,q0075,,,"You set the bucket back beside the stones in the sudden darkness.  More out of sensation than sight you stumble over to the tent, stifling a jaw-cracking yawn.  You let yourself into the tent and tug on the zipper until the entrance closes tight."
q0075,inside sleeping bag at last,q0074,q0076,,,"Without further ado, you wriggle sleepily into your sleeping bag, fluff your pillow, and close your eyes to fall asleep."
q0076,Seventh decision,q0075,,,"c0076.0, c0076.1","It’s very quiet, now that you’re inside the tent and the fire is out.  The darkness presses against your eyes, even when they’re open.  You snuggle deeper into your sleeping bag.  Was that a wolf howling?  Or could it have just been a night-bird?  A crying bat?  Night is when the predators are out, you think, and wrack your brain trying to remember all of the nocturnal creatures you know.  Certainly bears are only out during the day.  There’s nothing out here that can sneak up and attack you, right?"
q0080,(not afraid),,q0081,c0076.0,,"Of course!  There’s no food left out that can attract any animals, and you smell like human, so it’s keeping most of them away.  Even if they do go sniffing, they most likely won’t want to waste the effort on clawing through this synthetic tent fabric.  Besides, you struggle to think as you yawn, so sleepy… "
q0081,,q0080,q0100,,,"You can’t tell if your eyes are open or shut, but any concerns and thoughts about the wilderness drift away on the abstract and dreamy threads of sleep, tugging you closer and closer to blissful unconsciousness."
q0090,(definitely afraid),,q0091,c0076.1,,"What if there are bears?  Or rabid foxes?  What if there is some kind of forest-cat prowling around your tent right now?  Wait—what was that sound?  It was like a branch cracking, something snapping… was it only a branch, or was it bones?"
q0091,,q0090,q0092,,,"What if something gets you while you’re asleep and unprotected?  Maybe you should have gone back while you still had the chance, while the cookies were still warm…"
q0092,,q0091,q0093,,,"You dwell on that thought, on fresh-from-the-oven cookies, your limbs too heavy to stimulate into real action.  Every now and then a sharp sound from the woods startles you, sending your heart briefly into a panic, but the lull of cookies is too strong for your weary mind."
q0093,,q0092,q0100,,,"You spend your last moments awake imagining the taste of your favorite cookies melting on your tongue, and your grandma’s soft hands brushing back your hair until you fall too far into dreams to care about the sounds of far-off animal cries and the less distant footfalls at the edge of the clearing.  Maybe your snoring will keep them all at bay anyway."
q0100,morning of a new day,q0093,q0101,,,"In the morning, you emerge from the tent, yawning and more than a bit sore.  Sleeping on the ground is rough.  It felt like you were laying on a root the entire night, and now you have knots in your back and kinks in your neck.  Maybe next time you can bring a less ratty sleeping bag."
q0101,,q0100,q0102,,,"You had put the fire out last night, but you miss it now because morning is cold.  You drag the sleeping bag out of the tent and wrap it around you.  Makeshift or not, it turns out to be an effective blanket and you eat your breakfast (hardboiled eggs and an apple), your mind on a thousand things.  You enjoy the peacefulness of the woods because it really allows you to think without interruption between crispy bites of the sweet, juicy apple."
q0102,,q0101,q0103,,,"You decide it’s time to head on, but are not sure if that means to continue exploring or call it a camping trip and return to your grandparents and the world of technology.  There are two ways you can continue exploring: you can travel back to the tree you marked at the fork and take the other path (where you can also decide to just leave the woods, if you change your mind), or you can set out on the path you didn’t explore last night, the one that goes deeper into the woods from here before it circles back on itself and returns to the clearing, which means you’d get back to the fork later in the day."
q0103,,q0102,q0104,,,"You pace around the tent and campfire as you ponder your choice, munching thoughtfully on the last of the apple."
q0104,,q0103,q0105,,,"When the apple is finished, you chuck it as far into the woods as you can—maybe someday it will grow into an apple tree.  You smile to yourself, because you’re at peace with the decision you’ve made about what comes next."
q0105,,q0104,q0106,,,"You pack up, which takes longer than setting up did.  You kick the remnants of the fire, shushing ash into the air.  Thankfully you won’t have to worry about lighting another fire, although you’re confident you can do it faster next time.  You drink the rest of the water bottle from last night, make sure you didn’t leave anything behind in the clearing, and then hike the bagged up tent onto your back."
q0106,Eighth decision,q0105,,,"c0106.0, c0106.1","Between heading back to your grandparents’ house and taking the path that continues on deeper into the woods, you know in your heart what you should do."
q0110,(back to the fork),,q0111,c0106.0,,"You make quick work of the path leading back to the fork.  The trail is familiar to you even though you’re going in the opposite direction as yesterday, which makes it easier for you to avoid the raised roots and tripfalls that slowed you down before."
q0111,,q0110,q0112,,,"Time hardly seems to pass before you’re standing in front of that large tree again.  Its branches arc over the two paths, branches hanging low from its numerous leaves and some kind of fruit dangling down.  They’re shaped like peaches and have the coloring of the apple you ate not too long ago, although this fruit wears it softer than the apple did."
q0112,,q0111,q0113,,,"The fruit looks good, but you wouldn’t trust anything you don’t recognize out in the wilderness.  What if it’s poisoned?  Grandma made you swear anyway that you wouldn’t eat anything that grew in the woods.  You don’t intend to break that promise, even though you know she only said it so it wouldn’t spoil your appetite for her cookies."
q0113,,q0112,q0114,,,"The mark you left in the tree is still there, the tree still jutting rudely in the path’s way, forcing the branching pathways to go around it.  .  You walk in front of it until you’re oriented the way you were the day before, with the choice of left or right and the path back home behind you."
q0114,Ninth decision,q0113,,,"c0114.0, c0114.1, c0114.2","Home.  Your grandparents’ house, their smiling faces and warm hugs, and those cookies; all of that’s right behind you.  To your right is unexplored territory, a little-traveled path in the woods where untold adventures might occur.  Left is the safe clearing and a roundabout path that will eventually lead you back here, as long as you stay on the path.  Your choices have never felt so laid out in front of you as they do right now."
q0120,(leave the woods),,q0121,c0114.2,,"You need to get back.  There are cookies waiting for you, for crying out loud!  Plus you’ll get to tell your grandparents all about your adventure.  They’ve probably missed you a lot.  Maybe grandma will make your favorite dinner too…"
q0121,,q0120,q0122,,,"The path is long but relatively straight just as you remember it from yesterday.  You know it’s not long, but you stop a little ways in to break out the other hardboiled eggs, because you’re feeling peckish again and eating always tastes better when you’re walking."
q0122,,q0121,q0123,,,"Almost before you’re ready the outcropping of rocks rises up before you, and you edge your way around.  The open yard looks strange and out of place after how enclosed the forest had been, but halfway across to the house you realize you’re used to it again."
q0123,,q0122,END,,,“Grandma!” you shout.  “I’m back!  Where are those cookies?”
q0130,(keep exploring beyond clearing),,q0131,c0033.1,,"You follow the path beyond, bringing your things with you.  The path narrows, but never disappears among the underbrush.  You follow it fairly easily.  Small berry bushes line the dirt path intermittently between saplings and taller trees.  At one point the path crosses a small stream; thin and barely trickling, it nonetheless has a pleasant sound and soothing quality.  You watch the stream and see where it goes.  The ground slopes away to your right, the stream tumbling down with it  You jump across the stream with little effort and keep walking."
q0131,,q0130,q0132,,,"The path, narrowing a bit more, meanders a lot, arcing overall to your right.  It gets harder and harder to remember the direction you’ve come from however.  How deep into the woods does this path go? "
q0132,,q0131,q0133,,,"Before too long you have to cross another stream.  Or maybe it’s the same one?  This one looks wider, with more water gushing through it.  A little ways beyond you can hear a dull kind of roar.  The woods over there are hardly visible, just some trees poking up in the dim light.  There must be some kind of waterfall to make that noise, maybe where the ground seems to drop off suddenly."
q0133,,q0132,q0134,,,"Soon the path, which had been going steadily downhill, starts to rise again.  You trundle along, enjoying the scenic route but feeling increasingly tired and thirsty from the walk.  You’ve been hiking for at least two hours by now, surely.  The light wanes, which means it must be about sunset."
q0134,,q0133,q0135,,,"Your legs tingle and itch where the blood pumps through your veins, and you bend over to scratch them as often as you take small sips from your water bottle.  Your picnic basket is getting heavier in your hands and your stomach is starting to argue with you about when dinnertime is supposed to be.  You can hardly wait to shrug the tent off your back when suddenly the path you’re following ends."
q0135,,q0134,q0136,,,"The thin dirt path had been no more than a general depression in the underbrush, a symbolic kind of trail.  But now it’s obvious that even that has come to an end.  You fret for a bit, wondering if grandpa had lied and this path doesn’t circle around—that you’ll have to spend another hour and a half turning around to get back to that clearing, since you haven’t seen anything else promising since then."
q0136,,q0135,q0137,,,"You decide to scout for a bit before you turn around.  Dropping your pack and basket on what’s left of the path, you take a swig of your water and creep forward into the woods to search for a path nearby, and indication that there’s a way forward and not just one back."
q0137,,q0136,q0138,,,"You walk just a few feet into the trees and see, quite blatantly, a wide dirt trail not five feet ahead.  “Oh,” you say.  You creep onto the path and look up and down it.  “Oh,” you say again.  Sure enough, just to the left and past a small grove of trees is a clearing.  When you squint, you can just make out a ring of stones in the dusky light, stones that might perhaps be used to encircle a fire."
q0138,,q0137,q0139,,,"So it is the clearing, the designated camping clearing you came from before!  You’ve found it!  With more bounce in your step than you’ve had for awhile, you trot back to grab your things, and rush into the clearing."
q0139,,q0138,q0140,,,"Your stomach lurches out from under you as you start to pitch forward, the bundled tent on your back dragging you down.  You drop the basket as you throw your arms to catch your fall, but it’s not soon enough.  You land face first in the dirt and groan miserably."
q0140,Tenth decision,q0139,,,"c0140.0, c0140.1","Your ankle throbs painfully while you manage to thrust the tent off your back.  You must have tripped over something sticking out of the dirt, a rock or root or something, but you can’t see anything in particular in the dim light eking from the clearing."
q0141,(are you okay?),,q0142,c0140.0,,"It hurts, and some tears come to your eyes.  The skin is hot and tender to the touch, and when you compare your ankles you’re positive one is bigger than the other."
q0142,Eleventh decision,q0141,,,"c0142.0, c0142.1","You have to make a quick judgment call—can you do this tonight or not?  Surely if you’re hurt, your grandparents will want to know.  You can call them and they can come get you.  You won’t have to worry about setting up your tent or suffering in the dark.  Also, there are ice packs in their freezer.  Ice would feel good right about now.  Otherwise you’re going to have to walk it off (figuratively speaking; you really shouldn’t be walking anywhere right now), and set up your camp if you want a place to sleep for the night.  Can you do that?  With a potentially sprained ankle?"
q0150,(call home),,q0151,c0142.0,,"It’s better for you to call.  If your ankle is sprained, staying out all night without ice might make it stiff, and trying to walk back on it in the morning might exacerbate the ankle and make it worse.  It’s really much better for you to just call this adventure over and go home before it’s truly night."
q0151,,q0150,q0152,,,"After a few calming breaths, you still feel really good about this decision, so you take your phone out of your pocket and call.  You grandma picks up right away with her familiar, shaky yet cheery “Hello?”"
q0152,,q0151,q0153,,,"You explain the situation, and she dispatches grandpa right away.  You start scrolling through your phone, anything to distract yourself from the pain, and grandpa is there at your side not twenty minutes later.  He’s a little out of breath and concerned for your injury, but overall happy to see you.  “These woods make me nervous at night.  Not a good place to be when you’re hurt,” he says, confirming you’ve made the right call.  “Come along.”"
q0153,,q0152,q0154,,,"He helps you up and hands you a crutch to help you walk, then pulls the still-bundled tent over his shoulder and hangs the picnic basket over the crook of his elbow.  You both have a flashlight, and while they’re on the night seems a lot darker, but you also feel more confident about following the path."
q0154,,q0153,END,,,"Together, you make it slowly but surely out of the woods.  Grandma is waiting for you by the back door, fretting nervously with her hands.  She gives you a grateful hug and ushers you inside, where she tells you she’s made your favorite for dinner.  “Are there still cookies left for dessert?”  She laughs.  “Of course there are.  Now come on in!”"
q0160,(make do for the night),,q0161,c0142.1,,"The ankle might be swelling, but the pain is already lessening to a tolerable amount.  You think you can make it through the night, and if you really need to you can choose to call in the morning.  Might as well wait and see how you’ll feel then rather than ruin your trip by an early judgment call."
q0161,,q0160,q0162,,,"With a few preparatory breaths and your hands steadily on the ground, you manage to make it to your feet with only the slightest wobble.  You test your foot with a couple of steps.  Even though it stings, the pain is not as bad as you had thought originally.  Given a few more minutes of rest, you should be right as rain—or at least able to hobble around to set up camp."
q0162,,q0161,q0163,,,"Those few minutes stabilize your heart rate and slow down your thinking.  You’ll have to set up your tent, for one thing.  The night is getting cold as surely as it’s getting darker, and the tempered material of the tent should help keep a lot of the wind away."
q0163,,q0162,q0175,,,"You’ll need some kind of light source to see by.  There’s a flashlight in the picnic basket, but a fire would give off more light.  The heat would probably also help your ankle feel better."
q0170,(shake it off),,q0171,c0140.1,,"It’s gotten quite dark under cover of the trees.  When you look up, you can’t see the sun anymore.  Venus is shining through the clouds, however, in the violet sky.  You stand shakily to your feet, and your leg immediately buckles underneath you.  Your ankle definitely hurts, but after a few bracing breaths and some words of encouragement, you’re able to stand up mostly straight."
q0171,,q0170,q0172,,,"You bend down, balancing like a yogi to distribute your weight in a less painful manner, and with one hand on your good leg, you pick up the tent with the other, and drag it over to the cleared space behind the stone firepit."
q0172,,q0171,q0173,,,"You go back and pick up the basket, having an easier time of it, although your ankle still throbs in time with your heartbeat, which is still sounding quite loudly in your ears.  The felled tree trunk is at a good height for sitting, so you struggle over to it and sit down gratefully as you go over your itinerary for the night."
q0173,,q0172,q0174,,,"Obviously you’re going to have to camp here.  You were expecting it—it was the goal for this trip, after all—but trying to walk anywhere on your hurt ankle is now out of the question.  You’re not crying over it, but you can feel from the uncomfortable pressure from your shoe that it’s starting to swell, and it’s better to let it rest up than to push it—who knows what else you might trip on in the dark if you try to make it back tonight?"
q0174,,q0173,q0175,,,"Before you can sleep, you need to set up your tent.  You’ll need some light for that, so getting some light would be a smart first step.  There’s a flashlight in the basket, but a fire would give off more light.  The heat might also help your ankle feel better, or at least allow you to ignore some of the pain.  A slight chill has taken hold of the night, and you can feel it cutting through the thin fabric of your coat with every gust that drops down through the clearing.  A fire would be perfect."
q0175,,q0174,q0176,,,"You also need to eat.  You watched your grandma pack the basket, and know that there’s just a couple sandwiches in there, plus some hard-boiled eggs and an apple.  Nothing needs to be cooked, so if you can’t manage to gather firewood right now it won’t be the end of the world."
q0176,,q0175,,,"c0176.0, c0176.1","The clearing becomes incrementally darker with every passing minute.  You need to set up your tent, but with what light?"
q0180,,,q0181,c0023.1,,"There’s a log, and it’s blocking your path.  You can climb over it, but from the parts of the path that you can see, it looks too thorny and closed in for you to easily navigate through.  It might be worth it, but not while you’re carrying your bulky tent on your back.  It makes more sense to go set up camp and come back later."
q0181,,q0180,,,"c0023.0, c0114.2","You make it back to the fork.  Left brings you to the clearing, while going back the way you came takes you out of the woods."
